MANUFACTURER,COMP_TYPE,SERIES,COMP_IDENT,GENDER,CABLE_SIZE_AWG,CABLE_SIZE_MM2,MATES_WITH,NOTES
SOURIAU,CRIMP,UTO,RC24M9K,F,24,0.25,RM24M9K,
SOURIAU,CRIMP,UTO,RM24M9K,M,24,0.25,RC24M9K,
SOURIAU,CRIMP,UTO,RC20M12K,F,20,0.5,RM20M12K,
SOURIAU,CRIMP,UTO,RM20M12K,M,20,0.5,RC20M12K,
SOURIAU,CRIMP,UTO,RC20M13K,F,20 – 18,0.5 – 0.75,RM20M13K,
SOURIAU,CRIMP,UTO,RM20M13K,M,20 – 18,0.5 – 0.75,RC20M13K,
SOURIAU,CRIMP,UTO,RC16M23K,F,16,1.5,RM16M23K,
SOURIAU,CRIMP,UTO,RM16M23K,M,16,1.5,RC16M23K,
SOURIAU,CRIMP,UTOW,RC18W3K,F,20 – 17,0.5 – 1.0,RM18W3K,
SOURIAU,CRIMP,UTOW,RM18W3K,M,20 – 17,0.5 – 1.0,RC18W3K,
SOURIAU,CRIMP,UTOW,RC24W3K,F,26 – 24,0.13 – 0.25,RM24W3K,
SOURIAU,CRIMP,UTOW,RM24W3K,M,26 – 24,0.13 – 0.25,RC24W3K,
CONEC,CRIMP,D-TYPE,162B18709X,F,24 – 20,0.25 – 0.5,161B18299X,Standard Cable
CONEC,CRIMP,D-TYPE,161B18299X,M,24 – 20,0.25 – 0.5,162B18709X,Standard Cable
CONEC,CRIMP,D-TYPE,162B18719X,F,28 – 24,0.08 – 0.25,161B18309X,Small Cable
CONEC,CRIMP,D-TYPE,161B18309X,M,28 – 24,0.08 – 0.25,162B18719X,Small Cable
MH CONNECTORS,CRIMP,D-TYPE,DM-CTF,F,>17,<0.90,DM-CTM,Small Cable
MH CONNECTORS,CRIMP,D-TYPE,DM-CTM,M,>17,<0.90,DM-CTF,Small Cable
HARTING,CRIMP,D-TYPE,09670003476,F,22 – 18,0.33 – 0.82,09670003576,
HARTING,CRIMP,D-TYPE,09670003576,M,22 – 18,0.33 – 0.82,09670003476,
HARTING,CRIMP,D-TYPE,09670008476,F,24 – 20,0.25 – 0.52,09670008576,
HARTING,CRIMP,D-TYPE,09670008576,M,24 – 20,0.25 – 0.52,09670008476,
HARTING,CRIMP,D-TYPE,09670005476,F,26 – 22,0.13 – 0.33,09670005576,
HARTING,CRIMP,D-TYPE,09670005576,M,26 – 22,0.13 – 0.33,09670005476,
HARTING,CRIMP,D-TYPE,09670007476,F,28 – 24,0.09 – 0.25,09670007576,
HARTING,CRIMP,D-TYPE,09670007576,M,28 – 24,0.09 – 0.25,09670007476,
SOURIAU,CRIMP,UTO,RC14M30K,F,14,2.5,RM14M30K,
SOURIAU,CRIMP,UTO,RM14M30K,M,14,2.5,RC14M30K,
MOLEX,CRIMP,D-TYPE MIXED,1727040153,F,10 – 8,6.0 – 10.0,1727040145,FCT Power For use with 7W2 inserts. 
MOLEX,SOLDER CRIMP,D-TYPE MIXED,1727040156,F,12 – 8,4 – 10,1727040148,FCT Power For use with 7W2 inserts. Solder Crimp
MOLEX,CRIMP,D-TYPE MIXED,1727040145,M,10 – 8,6.0 – 10.0,1727040153,FCT Power For use with 7W2 inserts. 
MOLEX,SOLDER CRIMP,D-TYPE MIXED,1727040148,M,12 – 8,4 – 10,1727040156,FCT Power For use with 7W2 inserts. Solder Crimp
HARTING,CRIMP,D-TYPE,21011009928,M,20,0.75,21011009932,For use with M12 Power Crimp PE
HARTING,CRIMP,D-TYPE,21011009932,F,20,0.75,21011009928,For use with M12 Power Crimp PE
